,title,exact_tc_energy,truncated_tc_energy,exact_xtc_energy,truncated_xtc_energy,exact_tc_cond,truncated_tc_cond,exact_xtc_cond,truncated_xtc_cond,cutoff,xtc_cutoff,exact_tc_terms,truncated_tc_terms,exact_xtc_terms,truncated_xtc_terms,exact_tc_norm,truncated_tc_norm,exact_xtc_norm,truncated_xtc_norm,truncated_tc_gates,truncated_xtc_gates,truncated_tc_qubits,truncated_xtc_qubits,truncated_tc_gates_qroam,truncated_xtc_gates_qroam,truncated_tc_qubits_qroam,truncated_xtc_qubits_qroam
0,qubit_tc_B_vmc_gpcc_1e6_1.data,-24.611101542956163,-24.611101542956163,-24.611152428963393,-24.611152428963393,16.4758081619565,16.4758081619565,2.4330138623830138,2.4330138623830138,3.38230205042533e-08,1.0790285972209179e-06,959,959,295,295,18.158595864713256,18.15859586471317,18.103095845752396,18.10309584575234,7890285675414696.0,510149117424261.56,128.0,114.0,5232899556125503.0,430621886961012.4,300.0,256.0
1,qubit_tc_B_vmc_gpcc_1e6_2.data,-24.61171557303186,-24.61171557303186,-24.61176670873101,-24.61176670873101,12.556260012432396,12.556260012432396,3.6190731676785006,3.6190731676785006,3.382410745200913e-08,5.395210702485471e-07,959,959,295,295,18.15917941534616,18.159179415346138,18.10332306422211,18.103323064222096,6013209035878508.0,759809119549860.9,128.0,116.0,3988007556277067.0,644422415234140.5,300.0,264.0
2,qubit_tc_B_vmc_gpcc_1e6_3.data,-24.610930909608378,-24.610930909608378,-24.610976446973726,-24.610976446973726,12.897648213596833,12.897648213596833,4.721257749628953,4.721257749628953,3.382031218088611e-08,5.394661686413266e-07,959,959,295,295,18.15714184467712,18.157141844677035,18.101480871975923,18.101480871975927,6176700283586958.0,991208115368007.8,128.0,116.0,4096436238426017.5,840680522607514.0,300.0,264.0
3,qubit_tc_B_vmc_gpcc_1e6_4.data,-24.610644423160256,-24.610644423160256,-24.61069347452281,-24.61069347452281,8.104838712104911,8.104838712104911,3.9591436891080423,3.9591436891080423,6.764423950163896e-08,5.395087937386087e-07,959,959,295,295,18.15811227639528,18.158112276395666,18.10291113290413,18.102911132904172,3879246181828163.5,831205488592598.1,126.0,116.0,2565500820116606.5,704976335151193.4,292.0,264.0
4,qubit_tc_B_vmc_gpcc_1e6_5.data,-24.610503274172054,-24.610503274172054,-24.610554289883947,-24.610554289883947,5.036810235129144,5.036810235129144,2.0555325310483425,2.0555325310483425,1.3525950690742625e-07,1.0787561307738631e-06,959,959,295,295,18.154223707514916,18.154223707515058,18.098524617317366,18.09852461731735,2409435922726152.0,430999643184972.4,124.0,114.0,1588950985573465.8,363811037378478.5,284.0,256.0
5,qubit_tc_B_vmc_gpcc_1e6_6.data,-24.611197381554806,-24.611197381554806,-24.61124815054003,-24.61124815054003,13.293545004943244,13.293545004943244,2.227653456292197,2.227653456292197,3.382462646649259e-08,1.0790560853490422e-06,959,959,295,295,18.159458059124965,18.159458059125214,18.103557020015245,18.103557020015316,6366295765095180.0,467089588853180.3,128.0,114.0,4222177453870112.0,394274915435214.3,300.0,256.0
6,qubit_tc_B_vmc_gpcc_1e6_7.data,-24.610950290721814,-24.610950290721814,-24.611000477669347,-24.611000477669347,5.7591490491837085,5.7591490491837085,3.1756482774646577,3.1756482774646577,1.3526729558657924e-07,5.394166421509119e-07,959,959,295,295,18.155269086334926,18.155269086335093,18.099819038721073,18.099819038721108,2754977844243044.0,666713937493623.6,124.0,116.0,1816825556369270.2,565464923775122.0,284.0,264.0
7,qubit_tc_B_vmc_gpcc_1e6_8.data,-24.61187081407434,-24.61187081407434,-24.611935108108586,-24.611935108108586,16.93270827850045,16.93270827850045,3.5392750528347436,3.5392750528347436,3.3813625297640876e-08,5.393992678085224e-07,959,959,295,295,18.153551851570917,18.15355185157073,18.099236052530944,18.099236052530856,8109095727657617.0,743055842516761.9,128.0,116.0,5378016104798198.0,630213336965703.2,300.0,264.0
8,qubit_tc_B_vmc_gpcc_1e6_9.data,-24.609189568393393,-24.609189568393393,-24.609257506356183,-24.609257506356183,19.4561504041193,19.4561504041193,5.813050315155209,5.813050315155209,3.378558798459089e-08,2.694416082402147e-07,959,959,295,295,18.138499433743576,18.138499433743554,18.081920243333883,18.081920243333848,9317575400447398.0,1221982806316608.8,128.0,118.0,6179489334472606.0,1041318018386041.0,300.0,272.0
9,qubit_tc_B_vmc_gpcc_1e6_10.data,-24.610634119724672,-24.610634119724672,-24.610682063920688,-24.610682063920688,16.833063045079182,16.833063045079182,3.8655390795065854,3.8655390795065854,3.3820172752372135e-08,5.394648819971616e-07,959,959,295,295,18.15706698956344,18.157066989563578,18.10143769936186,18.10143769936178,8061375497477792.0,811553596322977.8,128.0,116.0,5346367672586890.0,688308833334668.0,300.0,264.0
