,title,exact_tc_energy,truncated_tc_energy,exact_xtc_energy,truncated_xtc_energy,exact_tc_cond,truncated_tc_cond,exact_xtc_cond,truncated_xtc_cond,cutoff,xtc_cutoff,exact_tc_terms,truncated_tc_terms,exact_xtc_terms,truncated_xtc_terms,exact_tc_norm,truncated_tc_norm,exact_xtc_norm,truncated_xtc_norm,truncated_tc_gates,truncated_xtc_gates,truncated_tc_qubits,truncated_xtc_qubits,truncated_tc_gates_qroam,truncated_xtc_gates_qroam,truncated_tc_qubits_qroam,truncated_xtc_qubits_qroam
0,qubit_tc_C_vmc_gpcc_1e6_1.data,-37.757534160799445,-37.757534160799445,-37.75766797811635,-37.75766797811635,12.726749200256425,12.726749200256425,3.2515515517364255,3.2515515517364255,5.016742040224395e-08,8.012467137215839e-07,911,911,295,295,26.9334287440401,26.933428744040118,26.885378370794385,26.885378370794353,1.1903037240693086e+16,1417569119337283.2,129.0,117.0,8043143430154529.0,1210231052332575.2,301.0,265.0
1,qubit_tc_C_vmc_gpcc_1e6_2.data,-37.76024828570463,-37.76024828570463,-37.76038456905689,-37.76038456905689,8.450813116095597,8.450813116095597,1.9123045019667517,1.9123045019667517,1.0034352879512722e-07,8.013030685777095e-07,911,911,295,295,26.935760908769318,26.935760908769105,26.887269325982135,26.88726932598209,7899323738125355.0,833701623863250.6,127.0,117.0,5322692877435115.0,711761832150445.8,293.0,265.0
2,qubit_tc_C_vmc_gpcc_1e6_3.data,-37.759468391242045,-37.759468391242045,-37.75960382249722,-37.75960382249722,5.1708960078033215,5.1708960078033215,2.9432715287138795,2.9432715287138795,1.0035475274897427e-07,8.013841478168216e-07,911,911,295,295,26.938773815938085,26.938773815938163,26.889989893797605,26.889989893797487,4833449872891065.0,1283169207851342.8,127.0,117.0,3256857177242666.5,1095488889786684.0,293.0,265.0
3,qubit_tc_C_vmc_gpcc_1e6_4.data,-37.75823488919821,-37.75823488919821,-37.75837121331105,-37.75837121331105,7.95871552880057,7.95871552880057,2.7077606564587833,2.7077606564587833,1.003361519496045e-07,8.012765984641727e-07,911,911,295,295,26.933780701877353,26.933780701877374,26.886381136357294,26.886381136357386,7439339817123705.0,1180494243464349.0,127.0,117.0,5012748226321070.0,1007831484935502.2,293.0,265.0
4,qubit_tc_C_vmc_gpcc_1e6_5.data,-37.759467183026324,-37.759467183026324,-37.75960018519386,-37.75960018519386,5.299567310295275,5.299567310295275,2.2923439814418978,2.2923439814418978,1.0033402839467789e-07,8.012326738491677e-07,911,911,295,295,26.933210664441987,26.933210664442306,26.884907270850086,26.884907270850075,4953724248886235.0,999386289064170.9,127.0,117.0,3337900008967319.0,853212943060100.9,293.0,265.0
5,qubit_tc_C_vmc_gpcc_1e6_6.data,-37.758898696172814,-37.758898696172814,-37.75903634291123,-37.75903634291123,21.524996658588098,21.524996658588098,2.6924156257597454,2.6924156257597454,2.5087372121440547e-08,8.013683422947933e-07,911,911,295,295,26.93736070104228,26.937360701042323,26.889459548483398,26.889459548483366,2.0143370838408824e+16,1173804316729949.8,131.0,117.0,1.3649660272711252e+16,1002120047686089.8,309.0,265.0
6,qubit_tc_C_vmc_gpcc_1e6_7.data,-37.758954812629305,-37.75895481282038,-37.75909233137101,-37.75909233137101,6.106027040200774,7.014531030476086,3.844098847362332,3.844098847362332,1.0034602451301988e-07,4.0065988764457884e-07,935,911,295,295,26.93643084793974,26.93643084793967,26.88782991019537,26.88782991019532,5707555436580033.0,1677960027814377.8,127.0,119.0,3845843730043174.5,1439017212806483.8,293.0,273.0
7,qubit_tc_C_vmc_gpcc_1e6_8.data,-37.75963362236044,-37.75963362236044,-37.7597664436713,-37.7597664436713,5.830896153306341,5.830896153306341,1.9658148249312382,1.9658148249312382,1.003425992271037e-07,8.013055137947169e-07,911,911,295,295,26.935511379752683,26.93551137975283,26.887351373849864,26.88735137384989,5450379243463506.0,857030357913218.9,127.0,117.0,3672554226191029.5,731678433022845.5,293.0,265.0
8,qubit_tc_C_vmc_gpcc_1e6_9.data,-37.76367285266456,-37.76367285299454,-37.76382412506591,-37.76382412506591,6.573236038837317,3.4781876961669522,2.142413808665869,2.142413808665869,1.004596252324196e-07,8.0219321568831e-07,1079,959,295,295,26.966925308853746,26.96692530885366,26.917137706674726,26.91713770667473,6398007716679117.0,934021684012560.5,127.0,117.0,4267044062939725.5,797408768379789.1,293.0,265.0
9,qubit_tc_C_vmc_gpcc_1e6_10.data,-37.75850315537924,-37.75850315537924,-37.75864165740194,-37.75864165740194,16.487312527324075,16.487312527324075,2.7283752001220627,2.7283752001220627,5.017149094835957e-08,8.013209282247417e-07,911,911,295,295,26.935614101845765,26.935614101845548,26.887868596294073,26.887868596293977,1.5420206049768782e+16,1189481503866445.0,129.0,117.0,1.0419771565261868e+16,1015504240687335.1,301.0,265.0
