,title,exact_tc_energy,truncated_tc_energy,exact_xtc_energy,truncated_xtc_energy,exact_tc_cond,truncated_tc_cond,exact_xtc_cond,truncated_xtc_cond,cutoff,xtc_cutoff,exact_tc_terms,truncated_tc_terms,exact_xtc_terms,truncated_xtc_terms,exact_tc_norm,truncated_tc_norm,exact_xtc_norm,truncated_xtc_norm,truncated_tc_gates,truncated_xtc_gates,truncated_tc_qubits,truncated_xtc_qubits,truncated_tc_gates_qroam,truncated_xtc_gates_qroam,truncated_tc_qubits_qroam,truncated_xtc_qubits_qroam
0,qubit_tc_Li_vmc_gpcc_1e6_1.data,-7.467587302878161,-7.467587302878182,-7.467586384666692,-7.467586384666692,16.62867560599152,9.715160540973624,4.4789486227175495,4.4789486227175495,3.093873628853636e-08,4.735662728548276e-07,1103,1007,295,295,8.305053783677064,8.305053783677005,7.9451236500003874,7.9451236500003795,4076498939365347.0,452467913102601.7,125.0,113.0,2648601090485318.5,379266854765220.75,291.0,255.0
1,qubit_tc_Li_vmc_gpcc_1e6_2.data,-7.46756270748955,-7.467562707489533,-7.467561792281815,-7.467561792281815,13.651885720925728,10.027495198332629,6.257951126540351,6.257951126540351,3.088605211594475e-08,2.3641997490401837e-07,1103,1007,295,295,8.290911483783411,8.290911483783393,7.932937971358589,7.932937971358591,3346742637858578.0,633022869944536.2,125.0,115.0,2174460568260559.8,533261919722641.3,291.0,263.0
2,qubit_tc_Li_vmc_gpcc_1e6_3.data,-7.467605027407321,-7.467605027412526,-7.467604114135199,-7.467604114135199,5.747045154739019,9.872542309539194,2.83092731523514,2.83092731523514,1.2375042063144665e-07,9.473314831055062e-07,1103,959,295,295,8.304750148098627,8.304750148098547,7.946792457830705,7.946792457830714,1351882261795973.2,285603899771082.75,121.0,111.0,881482310240467.8,238199333146691.22,275.0,247.0
3,qubit_tc_Li_vmc_gpcc_1e6_4.data,-7.4676711385612755,-7.467671138566683,-7.467670220842127,-7.467670220842127,7.538267161992072,9.845440973783132,5.180471471920872,5.180471471920872,6.174039868690504e-08,4.723130624817725e-07,1103,959,295,295,8.286656037570632,8.286656037570578,7.924098268878207,7.924098268878193,1774242760917541.5,523336459788504.44,123.0,113.0,1160259468921566.8,438670162767858.44,283.0,255.0
4,qubit_tc_Li_vmc_gpcc_1e6_5.data,-7.4676074456975154,-7.467607445702909,-7.467606533971193,-7.467606533971193,6.649988565985566,8.015832676087346,5.331218283934939,5.331218283934939,6.181860926095845e-08,4.731278715982876e-07,1115,959,295,295,8.297153283125605,8.297153283125603,7.937768497424715,7.937768497424736,1565173244704473.5,538565054975535.4,123.0,113.0,1023539234694083.4,451435048921825.94,283.0,255.0
5,qubit_tc_Li_vmc_gpcc_1e6_6.data,-7.467389609678392,-7.467389609678392,-7.467388701842408,-7.467388701842408,9.709537495235729,9.709537495235729,4.691023136193449,4.691023136193449,6.179292018345718e-08,4.7304113285942105e-07,911,911,295,295,8.293705353508953,8.293705353508965,7.936313262867231,7.936313262867205,2191584180818109.5,473891894625405.8,123.0,113.0,1447578895607989.2,397224826708437.0,283.0,255.0
6,qubit_tc_Li_vmc_gpcc_1e6_7.data,-7.4675851513622575,-7.467585151406552,-7.46758424081093,-7.46758424081093,5.758295295930329,3.5742353482543217,2.7961922772101158,2.7961922772101158,6.186008000837962e-08,9.470426937344185e-07,1127,959,295,295,8.302719392623047,8.302719392622933,7.944369917002111,7.944369917002093,1355300034408712.0,282099584324601.6,123.0,111.0,886293427703896.8,235276664362558.7,283.0,247.0
7,qubit_tc_Li_vmc_gpcc_1e6_8.data,-7.467620380518555,-7.467620380523804,-7.467619464055705,-7.467619464055705,5.346792192383704,4.715793854782622,3.061899566879788,3.061899566879788,1.2352102148080267e-07,4.726639002917404e-07,1103,959,295,295,8.289355431696194,8.289355431696265,7.929984350596981,7.929984350596992,1257730421072527.0,309316186421284.7,121.0,113.0,820091474352111.9,259274467326418.6,275.0,255.0
8,qubit_tc_Li_vmc_gpcc_1e6_9.data,-7.467658286245699,-7.467658286245699,-7.467657387070552,-7.467657387070552,33.81803679037986,33.81803679037986,6.152171862312819,6.152171862312819,1.5478504635111488e-08,2.3708844338526767e-07,1103,1103,295,295,8.30995889984853,8.309958899848532,7.955368051556822,7.955368051556814,8961235661003483.0,622322771450965.5,131.0,115.0,5758292330760366.0,524248098366703.9,303.0,263.0
9,qubit_tc_Li_vmc_gpcc_1e6_10.data,-7.467563862403059,-7.467563862408512,-7.4675629493399605,-7.4675629493399605,6.8269686014613615,6.477715524263924,8.026842588889927,8.026842588889927,6.180191812599966e-08,2.3642789587812546e-07,1115,959,295,295,8.294913036913691,8.294913036913693,7.933203755145676,7.933203755145641,1606828115780557.8,811955035996136.5,123.0,115.0,1050779283044479.2,683995352745633.0,283.0,263.0
